arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
ShallowCNN,basic,25,1.09093,0.61542,1.03665,0.626,0.05
ShallowCNN,basic,26,1.07955,0.61991,1.03003,0.6344,0.04686
ShallowCNN,basic,27,1.07111,0.62033,0.97248,0.6544,0.043733
ShallowCNN,basic,28,1.04986,0.6316,0.96609,0.6556,0.040631
ShallowCNN,basic,29,1.02613,0.63964,0.94915,0.664,0.037566
ShallowCNN,basic,30,1.00433,0.64698,0.92624,0.6782,0.034549
ShallowCNN,basic,31,0.98805,0.65242,0.93544,0.6706,0.031594
ShallowCNN,basic,32,0.9751,0.65607,0.90648,0.679,0.028711
ShallowCNN,basic,33,0.96954,0.6594,0.89499,0.6798,0.025912
ShallowCNN,basic,34,0.94726,0.66867,0.91649,0.68,0.023209
ShallowCNN,basic,35,0.93244,0.67329,0.90202,0.6786,0.020611
ShallowCNN,basic,36,0.92284,0.67578,0.87296,0.692,0.018129
ShallowCNN,basic,37,0.90642,0.68176,0.86126,0.695,0.015773
ShallowCNN,basic,38,0.89474,0.68513,0.85536,0.6972,0.013552
ShallowCNN,basic,39,0.89401,0.6872,0.85485,0.7036,0.011474
ShallowCNN,basic,40,0.87956,0.69116,0.84713,0.7036,0.009549
ShallowCNN,basic,41,0.87378,0.69384,0.84739,0.7014,0.007784
ShallowCNN,basic,42,0.8586,0.69624,0.83512,0.706,0.006185
ShallowCNN,basic,43,0.85138,0.69969,0.82991,0.7074,0.004759
ShallowCNN,basic,44,0.85076,0.70342,0.8296,0.7092,0.003511
ShallowCNN,basic,45,0.83743,0.70689,0.82229,0.7134,0.002447
ShallowCNN,basic,46,0.8343,0.70811,0.82075,0.7092,0.001571
ShallowCNN,basic,47,0.83643,0.70738,0.81817,0.715,0.000886
ShallowCNN,basic,48,0.8278,0.70809,0.82044,0.7128,0.000394
ShallowCNN,basic,49,0.82575,0.70931,0.81851,0.714,9.9e-05
ShallowCNN,basic,50,0.81742,0.7136,0.8183,0.7142,0.0
ShallowCNN,medium,1,3.13015,0.12884,2.20167,0.1766,0.099901
ShallowCNN,medium,2,2.1978,0.16424,2.08927,0.2376,0.099606
ShallowCNN,medium,3,2.12661,0.19553,1.99284,0.2564,0.099114
ShallowCNN,medium,4,2.05193,0.22667,1.92773,0.2684,0.098429
ShallowCNN,medium,5,1.9974,0.24924,1.81373,0.3314,0.097553
ShallowCNN,medium,6,1.92117,0.28362,1.76046,0.3502,0.096489
ShallowCNN,medium,7,1.87229,0.30331,1.67551,0.3816,0.095241
ShallowCNN,medium,8,1.82592,0.32262,1.67655,0.3932,0.093815
ShallowCNN,medium,9,1.79578,0.33687,1.69768,0.3608,0.092216
ShallowCNN,medium,10,1.76099,0.35367,1.55166,0.4404,0.090451
ShallowCNN,medium,11,1.72816,0.36562,1.53174,0.4376,0.088526
ShallowCNN,medium,12,1.69202,0.37956,1.49404,0.4574,0.086448
ShallowCNN,medium,13,1.65369,0.3964,1.41741,0.4926,0.084227
ShallowCNN,medium,14,1.6324,0.40471,1.44756,0.4732,0.081871
ShallowCNN,medium,15,1.59759,0.4172,1.3918,0.4866,0.079389
ShallowCNN,medium,16,1.56614,0.4344,1.33086,0.529,0.076791
ShallowCNN,medium,17,1.53972,0.44436,1.33973,0.5174,0.074088
ShallowCNN,medium,18,1.50923,0.45698,1.29756,0.5294,0.071289
ShallowCNN,medium,19,1.48556,0.46444,1.2923,0.5416,0.068406
ShallowCNN,medium,20,1.45515,0.47482,1.27509,0.5424,0.065451
ShallowCNN,medium,21,1.43347,0.48633,1.22758,0.5592,0.062434
ShallowCNN,medium,22,1.41733,0.49178,1.21207,0.5644,0.059369
ShallowCNN,medium,23,1.38882,0.50247,1.18084,0.5678,0.056267
ShallowCNN,medium,24,1.36971,0.50818,1.13027,0.5886,0.05314
ShallowCNN,medium,25,1.36133,0.51662,1.15733,0.5802,0.05
ShallowCNN,medium,26,1.33147,0.52642,1.10354,0.6054,0.04686
ShallowCNN,medium,27,1.3209,0.53102,1.07383,0.6172,0.043733
ShallowCNN,medium,28,1.30259,0.53738,1.08114,0.6136,0.040631
ShallowCNN,medium,29,1.28119,0.54442,1.06291,0.6246,0.037566
ShallowCNN,medium,30,1.27178,0.54864,1.04037,0.6214,0.034549
ShallowCNN,medium,31,1.25396,0.55298,1.00575,0.6296,0.031594
ShallowCNN,medium,32,1.23377,0.56027,1.04413,0.6234,0.028711
ShallowCNN,medium,33,1.22277,0.5662,0.99772,0.6414,0.025912
ShallowCNN,medium,34,1.20497,0.5738,0.97875,0.6536,0.023209
ShallowCNN,medium,35,1.19894,0.57776,0.98199,0.6488,0.020611
ShallowCNN,medium,36,1.18801,0.58013,0.96544,0.6462,0.018129
ShallowCNN,medium,37,1.17408,0.58642,0.95497,0.6578,0.015773
ShallowCNN,medium,38,1.16331,0.59058,0.95395,0.659,0.013552
ShallowCNN,medium,39,1.14362,0.59973,0.95356,0.661,0.011474
ShallowCNN,medium,40,1.1362,0.59967,0.92625,0.671,0.009549
ShallowCNN,medium,41,1.13371,0.60347,0.91366,0.6744,0.007784
